*
* Diensttypen
*
$DUTY:DutyID;DutyType
41;day-Tripper
59;day-Tripper
102;day-Tripper
109;day-Tripper
117;day-Tripper
131;day-Tripper
171;day-Tripper
33077;day-Split
38202;day-Block30
47767;day-Split
48674;day-Split
60958;day-Tripper
62499;day-Split
62653;day-Split
75061;day-Split
76093;day-Block30
76351;day-Block30
77857;day-Block30
85564;day-Block30
94712;day-Split
96393;day-Block30
122492;day-Split
133911;day-Block30
142340;day-Split
144869;day-Block30
154512;day-Split
155352;day-Block30
158399;day-Split
159408;day-Block30
164247;day-Split
171980;day-Block20
175480;day-Split
178491;day-Split
178595;day-Split
190910;day-Split
193985;day-Block20
200847;day-Block30
201351;day-Block30
203881;day-Block20
209343;day-Split
210068;day-Block30
211373;day-Block30
218409;day-Tripper
219751;day-Block30
222880;day-Block20
227408;day-Split
244883;day-Split
245261;day-Block30
252747;day-Split
258001;day-Block30
263510;day-Split
263840;day-Split
276538;day-Split
278350;day-Block30
285212;day-Split
285381;day-Split
285567;day-Split
287426;day-Tripper
287795;day-Split
289050;day-Block20
291998;day-Split
294107;day-Block20
295145;day-Tripper
295856;day-Split
296411;day-Block30
297092;day-Block30
297442;day-Block20
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
76093;6;38;296;441;0:15:02:00;0:15:34:00;1;
76093;6;-1;441;441;0:15:34:00;0:15:51:00;9;
76093;6;39;441;296;0:15:51:00;0:16:23:00;1;
76093;6;-1;296;296;0:16:23:00;0:16:32:00;9;
76093;6;40;296;441;0:16:32:00;0:17:04:00;1;
76093;6;-1;441;441;0:17:04:00;0:17:21:00;9;
76093;6;41;441;296;0:17:21:00;0:17:53:00;1;
76093;6;-1;296;296;0:17:53:00;0:18:02:00;9;
76093;6;42;296;441;0:18:02:00;0:18:34:00;1;
76093;6;-1;441;441;0:18:34:00;0:18:50:00;9;
76093;6;400;441;271;0:18:50:00;0:19:24:00;1;
76093;6;-1;271;271;0:19:24:00;0:19:27:00;9;
76093;6;401;271;213;0:19:27:00;0:20:02:00;1;
76093;6;-1;213;1;0:20:02:00;0:20:12:00;3;
76093;-1;P;-1;-1;0:20:12:00;0:21:02:00;8;
76093;14;-1;1;218;0:21:02:00;0:21:23:00;4;
76093;14;626;218;500;0:21:23:00;0:21:57:00;1;
76093;14;-1;500;1;0:21:57:00;0:22:07:00;3;
76093;-3;-1;1;-1;0:22:07:00;0:22:17:00;6;
76351;-3;-1;-1;1;0:14:29:00;0:14:39:00;5;
76351;22;-1;1;101;0:14:39:00;0:14:49:00;4;
76351;22;15;101;558;0:14:49:00;0:15:23:00;1;
76351;22;-1;558;558;0:15:23:00;0:15:31:00;9;
76351;22;16;558;101;0:15:31:00;0:16:08:00;1;
76351;22;-1;101;101;0:16:08:00;0:16:19:00;9;
76351;22;17;101;558;0:16:19:00;0:16:53:00;1;
76351;22;-1;558;558;0:16:53:00;0:17:01:00;9;
76351;22;18;558;101;0:17:01:00;0:17:38:00;1;
76351;22;-1;101;101;0:17:38:00;0:17:49:00;9;
76351;22;19;101;558;0:17:49:00;0:18:23:00;1;
76351;22;-1;558;353;0:18:23:00;0:18:36:00;2;
76351;22;-1;353;353;0:18:36:00;0:18:53:00;9;
76351;22;367;353;235;0:18:53:00;0:19:23:00;1;
76351;22;-1;235;235;0:19:23:00;0:19:32:00;9;
76351;22;368;235;353;0:19:32:00;0:20:02:00;1;
