*
* Diensttypen
*
$DUTY:DutyID;DutyType
15p;day-Tripper
31;day-Tripper
32;day-Tripper
36p;day-Tripper
40p;day-Tripper
84p;day-Tripper
95p;day-Tripper
712;day-Split90-225
781;day-Split90-225
834;day-Split90-225
975;day-Split90-225
1127;day-Split90-225
1327;day-Split90-225
1644;day-Split90-225
2455;day-Split90-225
2775;day-Split226-360
3498;day-Split226-360
4294;day-Split226-360
4328;day-Split226-360
4454;day-Block30
4457;day-Block30
4521;day-Block30
4722;day-Block30
5825;day-Block30
5830;day-Block30
5873;day-Block30
5977;day-Block30
6002;day-Block30
6010;day-Block30
6047;day-Block30
6076;day-Block30
6125;day-Block30
6148;day-Block30
29932;day-Split90-225
30070;day-Split90-225
30088;day-Split90-225
30116;day-Split226-360
30150;day-Split226-360
35032;day-Block30
35914;day-Split90-225
35987;day-Split226-360
36125;day-Block30
36971;day-Split90-225
37049;day-Split226-360
37075;day-Block30
37096;day-Block30
37098;day-Block30
37641;day-Block30
37646;day-Block30
38707;day-Block30
39276;day-Split90-225
39282;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
84p;9;-1;8213;8213;0:20:26:00;0:20:30:00;9;
84p;9;393283;8213;8211;0:20:30:00;0:21:10:00;1;-
84p;9;-1;8211;8211;0:21:10:00;0:21:15:00;9;
84p;9;393296;8211;8213;0:21:15:00;0:21:56:00;1;-
84p;9;-1;8213;8213;0:21:56:00;0:22:00:00;9;
84p;9;393284;8213;8211;0:22:00:00;0:22:40:00;1;-
84p;9;-1;8211;8211;0:22:40:00;0:22:45:00;9;
84p;9;393293;8211;8201;0:22:45:00;0:23:12:00;1;-
84p;9;-1;8201;0;0:23:12:00;0:23:29:00;3;
84p;-3;-1;0;-1;0:23:29:00;0:23:39:00;6;
95p;-3;-1;-1;8211;0:10:38:00;0:10:48:00;5;
95p;-1;-1;8211;8211;0:10:48:00;0:10:53:00;7;
95p;20;-1;8211;8210;0:10:53:00;0:10:59:00;2;
95p;20;-1;8210;8210;0:10:59:00;0:11:00:00;9;
95p;20;327729;8210;8198;0:11:00:00;0:11:49:00;1;-
95p;20;-1;8198;8198;0:11:49:00;0:12:03:00;9;
95p;20;327715;8198;8199;0:12:03:00;0:12:30:00;1;-
95p;20;-1;8199;8199;0:12:30:00;0:12:31:00;9;
95p;20;393357;8199;8207;0:12:31:00;0:12:47:00;1;-
95p;20;-1;8207;8207;0:12:47:00;0:12:51:00;9;
95p;20;393330;8207;8199;0:12:51:00;0:13:09:00;1;-
95p;20;-1;8199;8199;0:13:09:00;0:13:11:00;9;
95p;20;393359;8199;8207;0:13:11:00;0:13:27:00;1;-
95p;20;-1;8207;8207;0:13:27:00;0:13:31:00;9;
95p;20;393318;8207;8199;0:13:31:00;0:13:49:00;1;-
95p;20;-1;8199;8199;0:13:49:00;0:13:51:00;9;
95p;20;393361;8199;8207;0:13:51:00;0:14:07:00;1;-
95p;20;-1;8207;8207;0:14:07:00;0:14:11:00;9;
95p;20;393306;8207;8199;0:14:11:00;0:14:29:00;1;-
95p;20;-1;8199;8199;0:14:29:00;0:14:51:00;9;
95p;20;327687;8199;8198;0:14:51:00;0:15:19:00;1;-
95p;20;-1;8198;8198;0:15:19:00;0:15:51:00;9;
95p;20;131094;8198;8206;0:15:51:00;0:16:41:00;1;-
95p;20;-1;8206;0;0:16:41:00;0:16:41:00;3;
95p;-3;-1;0;-1;0:16:41:00;0:16:51:00;6;
712;-3;-1;-1;0;0:04:18:00;0:04:28:00;5;
712;3;-1;0;8201;0:04:28:00;0:04:45:00;4;
712;3;393289;8201;8211;0:04:45:00;0:05:16:00;1;-
712;3;-1;8211;8211;0:05:16:00;0:05:23:00;9;
712;3;393220;8211;8213;0:05:23:00;0:06:09:00;1;-
712;3;393264;8213;8211;0:06:09:00;0:06:56:00;1;-
712;3;-1;8211;8211;0:06:56:00;0:07:02:00;9;
712;3;720898;8211;8235;0:07:02:00;0:07:32:00;1;-
712;3;-1;8235;8210;0:07:32:00;0:07:52:00;2;
712;3;-1;8210;8210;0:07:52:00;0:07:53:00;9;
712;3;458753;8210;8221;0:07:53:00;0:08:11:00;1;-
712;3;-1;8221;0;0:08:11:00;0:08:12:00;3;
712;-1;P;-1;-1;0:08:12:00;0:09:45:00;8;
712;15;-1;0;8231;0:09:45:00;0:09:50:00;4;
712;15;786437;8231;8211;0:09:50:00;0:09:55:00;1;-
712;15;-1;8211;0;0:09:55:00;0:10:01:00;3;
712;-3;-1;0;-1;0:10:01:00;0:10:11:00;6;
781;-3;-1;-1;0;0:05:51:00;0:06:01:00;5;
781;16;-1;0;8208;0:06:01:00;0:06:06:00;4;
781;16;262187;8208;8195;0:06:06:00;0:06:18:00;1;-
781;16;-1;8195;8208;0:06:18:00;0:06:25:00;2;
781;16;-1;8208;8208;0:06:25:00;0:06:26:00;9;
781;16;262188;8208;8195;0:06:26:00;0:06:38:00;1;-
781;16;-1;8195;8198;0:06:38:00;0:06:51:00;2;
781;16;131084;8198;8206;0:06:51:00;0:07:41:00;1;-
781;16;-1;8206;0;0:07:41:00;0:07:41:00;3;
781;-1;P;-1;-1;0:07:41:00;0:09:18:00;8;
781;18;-1;0;8206;0:09:18:00;0:09:18:00;4;
781;18;65539;8206;8204;0:09:18:00;0:09:58:00;1;-
781;18;-1;8204;8204;0:09:58:00;0:10:08:00;9;
781;18;65577;8204;8206;0:10:08:00;0:10:45:00;1;-
