*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;0
1;1;0
2;1;0
3;1;0
4;1;0
5;1;0
6;1;0
7;1;0
8;1;0
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;0
19;1;0
20;1;0
21;1;0
22;1;0
23;1;0
24;1;0
25;1;0
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
4;393345w;8207;8207;0:08:47:00;0:08:51:00;9;
4;393326;8207;8199;0:08:51:00;0:09:09:00;1;-
4;393326w;8199;8199;0:09:09:00;0:09:11:00;9;
4;393347;8199;8207;0:09:11:00;0:09:27:00;1;-
4;393347w;8207;8207;0:09:27:00;0:09:31:00;9;
4;393314;8207;8199;0:09:31:00;0:09:49:00;1;-
4;393314w;8199;8199;0:09:49:00;0:09:51:00;9;
4;327726;8199;8198;0:09:51:00;0:10:19:00;1;-
4;327726w;8198;8198;0:10:19:00;0:10:33:00;9;
4;327701;8198;8210;0:10:33:00;0:11:18:00;1;-
4;ZD327701;8210;0;0:11:18:00;0:11:28:00;3;
4;VD786441;0;8215;0:11:30:00;0:11:35:00;4;
4;786441;8215;8232;0:11:35:00;0:11:43:00;1;-
4;L786441;8232;8206;0:11:43:00;0:11:46:00;2;
4;131076;8206;8198;0:11:46:00;0:12:36:00;1;-
4;L131076;8198;8199;0:12:36:00;0:12:51:00;2;
4;393358;8199;8207;0:12:51:00;0:13:07:00;1;-
4;393358w;8207;8207;0:13:07:00;0:13:11:00;9;
4;393305;8207;8199;0:13:11:00;0:13:29:00;1;-
4;393305w;8199;8199;0:13:29:00;0:13:31:00;9;
4;393360;8199;8207;0:13:31:00;0:13:47:00;1;-
4;393360w;8207;8207;0:13:47:00;0:13:51:00;9;
4;393331;8207;8199;0:13:51:00;0:14:09:00;1;-
4;393331w;8199;8199;0:14:09:00;0:14:11:00;9;
4;393362;8199;8207;0:14:11:00;0:14:27:00;1;-
4;393362w;8207;8207;0:14:27:00;0:14:31:00;9;
4;393319;8207;8199;0:14:31:00;0:14:49:00;1;-
4;393319w;8199;8199;0:14:49:00;0:14:51:00;9;
4;393364;8199;8207;0:14:51:00;0:15:07:00;1;-
4;393364w;8207;8207;0:15:07:00;0:15:11:00;9;
4;393307;8207;8199;0:15:11:00;0:15:29:00;1;-
4;393307w;8199;8199;0:15:29:00;0:15:51:00;9;
4;327735;8199;8198;0:15:51:00;0:16:19:00;1;-
4;327735w;8198;8198;0:16:19:00;0:16:25:00;9;
4;327699;8198;8210;0:16:25:00;0:17:08:00;1;-
