*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
3;325;253;297;0:16:34:00;0:17:08:00;1;
3;325w;297;297;0:17:08:00;0:17:19:00;9;
3;326;297;253;0:17:19:00;0:17:52:00;1;
3;ZD326;253;1;0:17:52:00;0:17:57:00;3;
4;VD24;1;441;0:04:53:00;0:05:09:00;4;
4;24;441;509;0:05:09:00;0:05:33:00;1;
4;ZD24;509;1;0:05:33:00;0:05:35:00;3;
4;VD3;1;101;0:05:39:00;0:05:49:00;4;
4;3;101;558;0:05:49:00;0:06:23:00;1;
4;3w;558;558;0:06:23:00;0:06:31:00;9;
4;4;558;101;0:06:31:00;0:07:08:00;1;
4;4w;101;101;0:07:08:00;0:07:19:00;9;
4;5;101;558;0:07:19:00;0:07:53:00;1;
4;5w;558;558;0:07:53:00;0:08:01:00;9;
4;6;558;101;0:08:01:00;0:08:38:00;1;
4;6w;101;101;0:08:38:00;0:08:49:00;9;
4;7;101;558;0:08:49:00;0:09:23:00;1;
4;7w;558;558;0:09:23:00;0:09:31:00;9;
4;8;558;101;0:09:31:00;0:10:08:00;1;
4;8w;101;101;0:10:08:00;0:10:19:00;9;
4;9;101;558;0:10:19:00;0:10:53:00;1;
4;9w;558;558;0:10:53:00;0:11:01:00;9;
4;10;558;101;0:11:01:00;0:11:38:00;1;
4;10w;101;101;0:11:38:00;0:11:49:00;9;
4;11;101;558;0:11:49:00;0:12:23:00;1;
4;11w;558;558;0:12:23:00;0:12:31:00;9;
4;12;558;101;0:12:31:00;0:13:08:00;1;
4;12w;101;101;0:13:08:00;0:13:19:00;9;
4;13;101;558;0:13:19:00;0:13:53:00;1;
4;13w;558;558;0:13:53:00;0:14:01:00;9;
4;14;558;101;0:14:01:00;0:14:38:00;1;
4;ZD14;101;1;0:14:38:00;0:14:40:00;3;
4;VD488;1;509;0:14:46:00;0:14:48:00;4;
4;488;509;432;0:14:48:00;0:15:17:00;1;
4;L488;432;353;0:15:17:00;0:15:28:00;2;
4;L488w;353;353;0:15:28:00;0:15:53:00;9;
4;363;353;620;0:15:53:00;0:16:27:00;1;
4;363w;620;620;0:16:27:00;0:16:28:00;9;
4;364;620;353;0:16:28:00;0:17:02:00;1;
4;ZD364;353;1;0:17:02:00;0:17:23:00;3;
4;VD206;1;253;0:17:29:00;0:17:34:00;4;
4;206;253;297;0:17:34:00;0:18:08:00;1;
4;206w;297;297;0:18:08:00;0:18:19:00;9;
4;207;297;253;0:18:19:00;0:18:52:00;1;
4;ZD207;253;1;0:18:52:00;0:18:57:00;3;
5;VD25;1;441;0:05:05:00;0:05:21:00;4;
5;25;441;296;0:05:21:00;0:05:53:00;1;
5;25w;296;296;0:05:53:00;0:06:02:00;9;
5;26;296;441;0:06:02:00;0:06:34:00;1;
5;26w;441;441;0:06:34:00;0:06:51:00;9;
5;27;441;296;0:06:51:00;0:07:23:00;1;
5;27w;296;296;0:07:23:00;0:07:32:00;9;
5;28;296;441;0:07:32:00;0:08:04:00;1;
5;28w;441;441;0:08:04:00;0:08:21:00;9;
5;29;441;296;0:08:21:00;0:08:53:00;1;
5;29w;296;296;0:08:53:00;0:09:02:00;9;
5;30;296;441;0:09:02:00;0:09:34:00;1;
5;30w;441;441;0:09:34:00;0:09:50:00;9;
5;373;441;271;0:09:50:00;0:10:24:00;1;
5;373w;271;271;0:10:24:00;0:10:27:00;9;
5;374;271;213;0:10:27:00;0:11:02:00;1;
5;ZD374;213;1;0:11:02:00;0:11:12:00;3;
5;VD424;1;228;0:11:16:00;0:11:28:00;4;
5;424;228;292;0:11:28:00;0:12:10:00;1;
