*
* Diensttypen
*
$DUTY:DutyID;DutyType
s18;day-Tripper
s19;day-Tripper
s57;day-Tripper
s19030;day-Block30
s54001;day-Block30
s60271;day-Block30
s74815;day-Split90-225
s74939;day-Split90-225
s89821;day-Split90-225
s91825;day-Split90-225
4;day-Split90-225
9;day-Split90-225
16;day-Block30
17;day-Block30
30;day-Block30
4077;day-Block30
28634;day-Block30
28742;day-Block30
30330;day-Split90-225
31602;day-Split90-225
42096;day-Block30
47549;day-Block30
52432;day-Block30
53469;day-Block30
55510;day-Block30
55800;day-Block30
56849;day-Block30
58036;day-Block30
58094;day-Block30
59449;day-Block30
60536;day-Block30
61813;day-Block30
62085;day-Split90-225
62578;day-Split90-225
62816;day-Split226-360
65482;day-Block30
65647;day-Split90-225
65721;day-Split226-360
65934;day-Block30
66481;day-Block30
66610;day-Split90-225
66953;day-Split90-225
67443;day-Split226-360
67462;day-Split226-360
67477;day-Split226-360
67490;day-Split226-360
67567;day-Split226-360
67593;day-Block30
67603;day-Block30
67614;day-Block30
67776;day-Block30
68201;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
s74939;1;-1;8207;8207;0:16:27:00;0:16:31:00;9;
s74939;1;393321;8207;8199;0:16:31:00;0:16:49:00;1;-
s74939;1;-1;8199;8199;0:16:49:00;0:16:51:00;9;
s74939;1;393370;8199;8207;0:16:51:00;0:17:07:00;1;-
s74939;1;-1;8207;8207;0:17:07:00;0:17:11:00;9;
s74939;1;393309;8207;8199;0:17:11:00;0:17:29:00;1;-
s74939;1;-1;8199;8199;0:17:29:00;0:17:31:00;9;
s74939;1;393372;8199;8207;0:17:31:00;0:17:47:00;1;-
s74939;1;-1;8207;8207;0:17:47:00;0:17:51:00;9;
s74939;1;393335;8207;8199;0:17:51:00;0:18:09:00;1;-
s74939;1;-1;8199;8199;0:18:09:00;0:18:11:00;9;
s74939;1;393374;8199;8207;0:18:11:00;0:18:27:00;1;-
s74939;1;-1;8207;0;0:18:27:00;0:18:33:00;3;
s74939;-3;-1;0;-1;0:18:33:00;0:18:43:00;6;
s89821;-3;-1;-1;0;0:07:57:00;0:08:07:00;5;
s89821;17;-1;0;8232;0:08:07:00;0:08:10:00;4;
s89821;17;786433;8232;8215;0:08:10:00;0:08:18:00;1;-
s89821;17;-1;8215;0;0:08:18:00;0:08:23:00;3;
s89821;-1;P;-1;-1;0:08:23:00;0:10:41:00;8;
s89821;25;-1;0;8199;0:10:41:00;0:10:51:00;4;
s89821;25;393352;8199;8207;0:10:51:00;0:11:07:00;1;-
s89821;25;-1;8207;8207;0:11:07:00;0:11:11:00;9;
s89821;25;393303;8207;8199;0:11:11:00;0:11:29:00;1;-
s89821;25;-1;8199;8199;0:11:29:00;0:11:51:00;9;
s89821;25;327734;8199;8198;0:11:51:00;0:12:19:00;1;-
s89821;25;-1;8198;8198;0:12:19:00;0:12:33:00;9;
s89821;25;327697;8198;8210;0:12:33:00;0:13:18:00;1;-
s89821;25;-1;8210;8211;0:13:18:00;0:13:24:00;2;
s89821;25;-1;8211;8211;0:13:24:00;0:13:25:00;9;
s89821;25;262182;8211;8196;0:13:25:00;0:14:19:00;1;-
s89821;25;-1;8196;8196;0:14:19:00;0:14:42:00;9;
s89821;25;262156;8196;8211;0:14:42:00;0:15:33:00;1;-
s89821;25;-1;8211;8211;0:15:33:00;0:15:45:00;9;
s89821;25;262183;8211;8196;0:15:45:00;0:16:39:00;1;-
s89821;25;-1;8196;8196;0:16:39:00;0:17:02:00;9;
s89821;25;262157;8196;8211;0:17:02:00;0:17:53:00;1;-
s89821;25;-1;8211;8211;0:17:53:00;0:17:55:00;9;
s89821;25;262200;8211;8195;0:17:55:00;0:18:18:00;1;-
s89821;25;-1;8195;8195;0:18:18:00;0:18:21:00;9;
s89821;25;262169;8195;8211;0:18:21:00;0:18:43:00;1;-
s89821;25;-1;8211;0;0:18:43:00;0:18:49:00;3;
s89821;-3;-1;0;-1;0:18:49:00;0:18:59:00;6;
